GCO_8_20.txt     0.1 MaxFEs      0.2 MaxFEs      0.3 MaxFEs      0.4 MaxFEs      0.5 MaxFEs      0.6 MaxFEs      0.7 MaxFEs      0.8 MaxFEs      0.9 MaxFEs      1.0 MaxFEs  
 Run  1         2.7372e+002 	1.8830e+002 	1.3521e+002 	1.3521e+002 	1.3521e+002 	8.7612e+001 	7.5825e+001 	5.3358e+001 	4.1702e+001 	3.0956e+001 	
 Run  2         2.6233e+002 	1.6730e+002 	1.6730e+002 	1.3028e+002 	1.1969e+002 	1.1952e+002 	9.7106e+001 	8.1889e+001 	4.7411e+001 	4.7008e+001 	
 Run  3         2.7243e+002 	2.0071e+002 	1.6769e+002 	1.5529e+002 	1.2219e+002 	1.2219e+002 	1.0333e+002 	8.3955e+001 	7.5123e+001 	5.0661e+001 	
 Run  4         2.7083e+002 	1.9307e+002 	1.6807e+002 	1.4505e+002 	1.2086e+002 	1.2086e+002 	1.0850e+002 	8.9431e+001 	7.2340e+001 	5.4798e+001 	
 Run  5         3.0209e+002 	1.9491e+002 	1.7121e+002 	1.7121e+002 	1.5598e+002 	1.3538e+002 	1.3538e+002 	8.9135e+001 	8.1980e+001 	6.3106e+001 	
 Run  6         2.8540e+002 	1.9642e+002 	1.6600e+002 	1.4236e+002 	1.4236e+002 	1.1252e+002 	9.6707e+001 	9.6089e+001 	6.6293e+001 	6.5334e+001 	
 Run  7         2.7000e+002 	1.7773e+002 	1.7474e+002 	9.7788e+001 	9.7788e+001 	9.7788e+001 	9.7788e+001 	9.7788e+001 	7.0057e+001 	6.5450e+001 	
 Run  8         2.5763e+002 	2.0690e+002 	1.6632e+002 	1.5974e+002 	1.4496e+002 	1.2111e+002 	7.5621e+001 	7.5621e+001 	7.5621e+001 	6.9244e+001 	
 Run  9         2.4286e+002 	1.7229e+002 	1.6408e+002 	1.4824e+002 	1.3051e+002 	1.2647e+002 	1.1374e+002 	1.0563e+002 	1.0271e+002 	7.5800e+001 	
 Run 10         3.3125e+002 	1.8029e+002 	1.5823e+002 	1.5823e+002 	1.4755e+002 	1.2707e+002 	1.2707e+002 	1.2114e+002 	1.1076e+002 	8.4789e+001 	
 Run 11         2.9460e+002 	1.7121e+002 	1.5713e+002 	1.3174e+002 	8.5884e+001 	8.5884e+001 	8.5884e+001 	8.5884e+001 	8.5884e+001 	8.5884e+001 	
 Run 12         2.8723e+002 	2.0646e+002 	1.6036e+002 	1.5400e+002 	1.0984e+002 	1.0984e+002 	9.7553e+001 	9.7553e+001 	9.7553e+001 	8.6258e+001 	
 Run 13         2.7824e+002 	2.0516e+002 	1.3072e+002 	1.3072e+002 	1.3072e+002 	1.3072e+002 	1.1693e+002 	1.1693e+002 	9.0217e+001 	9.0217e+001 	
 Run 14         2.9025e+002 	1.8846e+002 	1.6622e+002 	1.5277e+002 	1.3932e+002 	1.3597e+002 	1.3597e+002 	1.1092e+002 	1.1092e+002 	9.0771e+001 	
 Run 15         3.0802e+002 	1.9722e+002 	1.6129e+002 	1.5901e+002 	1.5901e+002 	1.5901e+002 	1.3865e+002 	1.3086e+002 	9.0954e+001 	9.0954e+001 	
 Run 16         3.0518e+002 	2.1608e+002 	1.5686e+002 	1.5686e+002 	1.5425e+002 	1.3504e+002 	1.3504e+002 	1.3142e+002 	1.1288e+002 	9.1005e+001 	
 Run 17         2.9227e+002 	1.8568e+002 	1.6278e+002 	1.1709e+002 	1.1709e+002 	1.1709e+002 	1.1406e+002 	1.1406e+002 	1.0461e+002 	9.1368e+001 	
 Run 18         3.1798e+002 	2.0537e+002 	1.7856e+002 	1.5880e+002 	1.2671e+002 	1.2671e+002 	1.2671e+002 	1.2310e+002 	1.0375e+002 	9.2334e+001 	
 Run 19         2.6865e+002 	1.8092e+002 	1.4703e+002 	1.1066e+002 	1.1066e+002 	1.0396e+002 	1.0396e+002 	1.0396e+002 	1.0047e+002 	1.0047e+002 	
 Run 20         3.1806e+002 	2.5628e+002 	2.0752e+002 	1.7255e+002 	1.7255e+002 	1.6534e+002 	1.6043e+002 	1.4825e+002 	1.4353e+002 	1.0883e+002 	
