GCO_8_30.txt     0.1 MaxFEs      0.2 MaxFEs      0.3 MaxFEs      0.4 MaxFEs      0.5 MaxFEs      0.6 MaxFEs      0.7 MaxFEs      0.8 MaxFEs      0.9 MaxFEs      1.0 MaxFEs  
 Run  1         3.2701e+002 	3.1337e+002 	2.3164e+002 	2.3164e+002 	2.1130e+002 	1.9054e+002 	1.3690e+002 	1.2001e+002 	1.0994e+002 	1.0438e+002 	
 Run  2         3.4476e+002 	3.0793e+002 	2.8751e+002 	2.5072e+002 	2.5072e+002 	2.4965e+002 	1.8434e+002 	1.4723e+002 	1.3073e+002 	1.2785e+002 	
 Run  3         3.6251e+002 	3.0756e+002 	2.4708e+002 	2.4708e+002 	2.4708e+002 	2.0279e+002 	1.6542e+002 	1.5353e+002 	1.3762e+002 	1.3216e+002 	
 Run  4         4.1971e+002 	3.2429e+002 	2.5937e+002 	2.5937e+002 	2.5937e+002 	2.5426e+002 	1.9544e+002 	1.6603e+002 	1.5946e+002 	1.5579e+002 	
 Run  5         4.0078e+002 	3.4832e+002 	3.2271e+002 	2.8201e+002 	2.5955e+002 	2.5955e+002 	1.8406e+002 	1.7243e+002 	1.6834e+002 	1.6231e+002 	
 Run  6         3.3928e+002 	3.0575e+002 	2.7221e+002 	2.5940e+002 	2.3300e+002 	2.1685e+002 	2.1685e+002 	1.8049e+002 	1.7324e+002 	1.6710e+002 	
 Run  7         2.8875e+002 	2.8875e+002 	2.6182e+002 	2.6182e+002 	2.6182e+002 	2.6182e+002 	2.5639e+002 	2.1612e+002 	1.8255e+002 	1.6820e+002 	
 Run  8         3.0118e+002 	3.0118e+002 	2.6457e+002 	2.3290e+002 	2.3290e+002 	2.3290e+002 	2.0489e+002 	1.9688e+002 	1.8169e+002 	1.7243e+002 	
 Run  9         4.2066e+002 	3.2003e+002 	3.1950e+002 	2.6114e+002 	2.4754e+002 	2.4754e+002 	1.9471e+002 	1.7984e+002 	1.7680e+002 	1.7292e+002 	
 Run 10         3.9220e+002 	3.3900e+002 	3.1258e+002 	2.7166e+002 	2.5747e+002 	2.5126e+002 	2.3195e+002 	1.8788e+002 	1.8788e+002 	1.7756e+002 	
 Run 11         3.4271e+002 	3.1238e+002 	2.9211e+002 	2.7181e+002 	2.3504e+002 	2.3504e+002 	2.3504e+002 	2.1857e+002 	1.9020e+002 	1.8084e+002 	
 Run 12         4.3555e+002 	3.5013e+002 	3.0207e+002 	2.7310e+002 	2.7310e+002 	2.7310e+002 	2.4835e+002 	1.9780e+002 	1.8488e+002 	1.8096e+002 	
 Run 13         3.9077e+002 	3.1316e+002 	2.9780e+002 	2.6221e+002 	2.6221e+002 	2.5826e+002 	2.5138e+002 	2.2346e+002 	1.8818e+002 	1.8106e+002 	
 Run 14         4.1711e+002 	2.9108e+002 	2.6212e+002 	2.6212e+002 	2.4316e+002 	2.4316e+002 	2.2592e+002 	2.2571e+002 	2.0687e+002 	1.9376e+002 	
 Run 15         4.0837e+002 	3.3593e+002 	3.2630e+002 	3.2630e+002 	3.0343e+002 	2.6478e+002 	2.4025e+002 	2.1889e+002 	1.9587e+002 	1.9575e+002 	
 Run 16         3.2866e+002 	2.4865e+002 	2.4865e+002 	2.4865e+002 	2.4816e+002 	2.4321e+002 	2.2712e+002 	2.2712e+002 	2.2407e+002 	2.0086e+002 	
 Run 17         3.9580e+002 	3.1661e+002 	3.0538e+002 	2.5988e+002 	2.5988e+002 	2.5988e+002 	2.5988e+002 	2.5065e+002 	2.1235e+002 	2.0183e+002 	
 Run 18         3.8708e+002 	2.8547e+002 	2.6884e+002 	2.6137e+002 	2.6137e+002 	2.6137e+002 	2.3773e+002 	2.3773e+002 	2.0983e+002 	2.0983e+002 	
 Run 19         4.2027e+002 	3.4366e+002 	3.1021e+002 	3.1021e+002 	2.8790e+002 	2.8790e+002 	2.8790e+002 	2.4738e+002 	2.4738e+002 	2.3153e+002 	
 Run 20         4.5523e+002 	3.4034e+002 	3.4034e+002 	3.1785e+002 	3.1785e+002 	3.0109e+002 	2.8129e+002 	2.5638e+002 	2.4812e+002 	2.4400e+002 	
