GCO_4_20.txt     0.1 MaxFEs      0.2 MaxFEs      0.3 MaxFEs      0.4 MaxFEs      0.5 MaxFEs      0.6 MaxFEs      0.7 MaxFEs      0.8 MaxFEs      0.9 MaxFEs      1.0 MaxFEs  
 Run  1         1.6250e+003 	4.0400e+002 	3.0200e+002 	1.6400e+002 	1.0000e+002 	5.1000e+001 	2.3000e+001 	1.1000e+001 	7.0000e+000 	3.0000e+000 	
 Run  2         1.1890e+003 	3.8600e+002 	2.2500e+002 	1.1800e+002 	6.4000e+001 	2.9000e+001 	1.9000e+001 	9.0000e+000 	6.0000e+000 	4.0000e+000 	
 Run  3         1.0510e+003 	6.7900e+002 	3.2700e+002 	1.6600e+002 	9.6000e+001 	5.2000e+001 	2.6000e+001 	1.7000e+001 	8.0000e+000 	5.0000e+000 	
 Run  4         1.3540e+003 	4.8800e+002 	3.5200e+002 	1.5400e+002 	5.9000e+001 	4.6000e+001 	3.2000e+001 	2.2000e+001 	9.0000e+000 	5.0000e+000 	
 Run  5         1.3350e+003 	5.5900e+002 	3.0600e+002 	2.3700e+002 	1.0100e+002 	5.5000e+001 	3.1000e+001 	1.2000e+001 	1.0000e+001 	6.0000e+000 	
 Run  6         1.4900e+003 	5.8400e+002 	3.5200e+002 	2.0800e+002 	1.3500e+002 	8.3000e+001 	4.2000e+001 	2.6000e+001 	1.3000e+001 	6.0000e+000 	
 Run  7         1.2280e+003 	6.1900e+002 	3.0900e+002 	2.4000e+002 	1.1900e+002 	6.8000e+001 	3.7000e+001 	2.2000e+001 	7.0000e+000 	6.0000e+000 	
 Run  8         1.0090e+003 	5.1900e+002 	2.8100e+002 	1.3200e+002 	8.2000e+001 	6.2000e+001 	1.9000e+001 	1.6000e+001 	9.0000e+000 	7.0000e+000 	
 Run  9         1.2490e+003 	7.1900e+002 	4.3400e+002 	1.5300e+002 	1.1100e+002 	6.0000e+001 	3.0000e+001 	2.1000e+001 	1.3000e+001 	8.0000e+000 	
 Run 10         1.3830e+003 	3.0200e+002 	3.0200e+002 	1.8300e+002 	1.1600e+002 	9.3000e+001 	4.8000e+001 	3.2000e+001 	1.9000e+001 	9.0000e+000 	
 Run 11         1.1480e+003 	6.5200e+002 	2.5600e+002 	1.5400e+002 	6.2000e+001 	6.1000e+001 	3.3000e+001 	2.4000e+001 	1.1000e+001 	9.0000e+000 	
 Run 12         1.3480e+003 	7.6400e+002 	3.1400e+002 	1.6400e+002 	9.0000e+001 	4.3000e+001 	3.0000e+001 	2.2000e+001 	1.3000e+001 	9.0000e+000 	
 Run 13         1.8180e+003 	5.4200e+002 	3.7600e+002 	2.0500e+002 	7.8000e+001 	5.2000e+001 	3.6000e+001 	2.4000e+001 	1.2000e+001 	1.0000e+001 	
 Run 14         1.5270e+003 	5.6800e+002 	5.0600e+002 	2.7600e+002 	1.1600e+002 	3.9000e+001 	3.7000e+001 	1.8000e+001 	1.3000e+001 	1.0000e+001 	
 Run 15         1.5090e+003 	6.9000e+002 	3.3800e+002 	1.4900e+002 	1.3000e+002 	7.5000e+001 	3.7000e+001 	1.7000e+001 	1.2000e+001 	1.0000e+001 	
 Run 16         1.6090e+003 	6.5600e+002 	3.1900e+002 	2.1200e+002 	9.6000e+001 	4.3000e+001 	2.8000e+001 	1.6000e+001 	1.3000e+001 	1.0000e+001 	
 Run 17         1.5310e+003 	6.4700e+002 	3.4000e+002 	1.8900e+002 	1.0300e+002 	6.6000e+001 	2.9000e+001 	2.0000e+001 	1.6000e+001 	1.1000e+001 	
 Run 18         7.9400e+002 	5.7400e+002 	3.0500e+002 	2.1700e+002 	1.1200e+002 	5.8000e+001 	4.2000e+001 	2.3000e+001 	1.3000e+001 	1.1000e+001 	
 Run 19         1.1970e+003 	6.6000e+002 	3.9900e+002 	2.2800e+002 	1.1300e+002 	8.6000e+001 	4.3000e+001 	2.6000e+001 	1.7000e+001 	1.2000e+001 	
 Run 20         1.3010e+003 	4.7700e+002 	4.6300e+002 	1.9000e+002 	1.9000e+002 	8.4000e+001 	4.0000e+001 	2.9000e+001 	1.6000e+001 	1.3000e+001 	
