GCO_3_30.txt     0.1 MaxFEs      0.2 MaxFEs      0.3 MaxFEs      0.4 MaxFEs      0.5 MaxFEs      0.6 MaxFEs      0.7 MaxFEs      0.8 MaxFEs      0.9 MaxFEs      1.0 MaxFEs  
 Run  1         2.7558e+004 	1.5357e+004 	1.0290e+004 	5.4442e+003 	3.2046e+003 	1.5781e+003 	1.1215e+003 	5.8969e+002 	3.9911e+002 	3.0804e+002 	
 Run  2         2.9873e+004 	1.9724e+004 	7.4356e+003 	5.4180e+003 	3.9113e+003 	1.6367e+003 	1.0055e+003 	4.8881e+002 	3.9566e+002 	3.1588e+002 	
 Run  3         3.7373e+004 	1.7692e+004 	1.1721e+004 	5.8965e+003 	4.4113e+003 	2.6526e+003 	1.2398e+003 	6.0382e+002 	4.9755e+002 	3.8844e+002 	
 Run  4         2.8311e+004 	1.5954e+004 	1.0626e+004 	4.7112e+003 	4.3192e+003 	2.0484e+003 	1.2219e+003 	6.5416e+002 	5.0492e+002 	4.0400e+002 	
 Run  5         3.8991e+004 	1.3383e+004 	8.8734e+003 	5.1310e+003 	4.8950e+003 	2.4102e+003 	1.3512e+003 	8.9102e+002 	5.5187e+002 	4.5565e+002 	
 Run  6         3.4543e+004 	1.5156e+004 	8.6915e+003 	6.9878e+003 	2.9762e+003 	1.7086e+003 	1.2744e+003 	7.3709e+002 	5.4876e+002 	4.6971e+002 	
 Run  7         3.9100e+004 	1.6475e+004 	1.1900e+004 	7.6108e+003 	4.0559e+003 	2.9662e+003 	1.5806e+003 	8.9796e+002 	6.2256e+002 	4.9247e+002 	
 Run  8         4.8261e+004 	1.8343e+004 	1.4919e+004 	7.7451e+003 	3.6943e+003 	2.2052e+003 	1.1229e+003 	9.1969e+002 	5.9249e+002 	5.3337e+002 	
 Run  9         3.6112e+004 	1.6279e+004 	1.3717e+004 	6.2353e+003 	4.0798e+003 	2.0700e+003 	1.2995e+003 	8.0257e+002 	6.7299e+002 	5.7223e+002 	
 Run 10         4.6207e+004 	1.6003e+004 	1.2781e+004 	6.6101e+003 	4.3295e+003 	2.3156e+003 	1.7072e+003 	8.3991e+002 	6.8662e+002 	5.9459e+002 	
 Run 11         3.6364e+004 	2.1867e+004 	1.3430e+004 	6.5967e+003 	3.7585e+003 	2.5025e+003 	1.9061e+003 	1.0271e+003 	7.4160e+002 	5.9978e+002 	
 Run 12         3.8755e+004 	1.6832e+004 	9.4691e+003 	6.5267e+003 	3.7522e+003 	2.2818e+003 	1.4953e+003 	8.6589e+002 	7.1528e+002 	6.4754e+002 	
 Run 13         5.4222e+004 	2.5414e+004 	1.3784e+004 	7.2415e+003 	4.7295e+003 	2.0173e+003 	1.7642e+003 	1.0430e+003 	9.0921e+002 	7.7447e+002 	
 Run 14         3.9979e+004 	1.8555e+004 	9.7023e+003 	6.1095e+003 	3.5155e+003 	2.4308e+003 	1.5922e+003 	1.1928e+003 	9.7514e+002 	8.8317e+002 	
 Run 15         3.5202e+004 	1.9069e+004 	9.3684e+003 	6.4171e+003 	4.7850e+003 	2.5804e+003 	1.7123e+003 	1.4266e+003 	1.0154e+003 	9.5338e+002 	
 Run 16         4.6638e+004 	2.0969e+004 	1.4561e+004 	8.3221e+003 	4.1873e+003 	3.1755e+003 	1.6883e+003 	1.3032e+003 	1.1205e+003 	9.5563e+002 	
 Run 17         3.0142e+004 	1.4655e+004 	1.3238e+004 	7.0788e+003 	4.8039e+003 	2.8770e+003 	2.0081e+003 	1.3922e+003 	1.1921e+003 	1.0854e+003 	
 Run 18         2.9442e+004 	1.7215e+004 	1.1638e+004 	6.4427e+003 	5.0282e+003 	3.7172e+003 	2.3257e+003 	1.5570e+003 	1.2943e+003 	1.0942e+003 	
 Run 19         3.1549e+004 	1.8185e+004 	1.1798e+004 	8.8093e+003 	4.9060e+003 	3.4423e+003 	2.7556e+003 	1.8704e+003 	1.4221e+003 	1.3256e+003 	
 Run 20         3.7536e+004 	1.9889e+004 	1.5522e+004 	9.2044e+003 	6.0403e+003 	4.6723e+003 	2.7478e+003 	2.0982e+003 	1.6613e+003 	1.5135e+003 	
