GCO_2_10.txt     0.1 MaxFEs      0.2 MaxFEs      0.3 MaxFEs      0.4 MaxFEs      0.5 MaxFEs      0.6 MaxFEs      0.7 MaxFEs      0.8 MaxFEs      0.9 MaxFEs      1.0 MaxFEs  
 Run  1         4.9739e+003 	1.4513e+003 	4.8631e+002 	3.0488e+002 	1.4665e+002 	9.3004e+001 	4.8810e+001 	2.3570e+001 	1.7030e+001 	8.4590e+000 	
 Run  2         6.2948e+003 	2.1086e+003 	4.5364e+002 	4.5364e+002 	1.3170e+002 	1.3170e+002 	5.0103e+001 	3.0445e+001 	1.4861e+001 	1.2366e+001 	
 Run  3         5.4428e+003 	1.8774e+003 	4.1869e+002 	4.1869e+002 	4.1869e+002 	2.5391e+002 	1.3052e+002 	7.1698e+001 	2.4975e+001 	1.6477e+001 	
 Run  4         6.0720e+003 	2.3598e+003 	4.5247e+002 	3.2550e+002 	2.1511e+002 	1.7208e+002 	1.1830e+002 	6.4086e+001 	2.4217e+001 	1.8867e+001 	
 Run  5         2.6044e+003 	1.0780e+003 	5.4634e+002 	3.0350e+002 	3.0350e+002 	1.3291e+002 	1.1841e+002 	6.8277e+001 	2.9603e+001 	1.9472e+001 	
 Run  6         3.5653e+003 	1.2319e+003 	5.2319e+002 	3.0622e+002 	3.0622e+002 	2.0624e+002 	1.0263e+002 	9.7806e+001 	5.2157e+001 	1.9645e+001 	
 Run  7         4.5695e+003 	1.9825e+003 	1.3505e+003 	2.2846e+002 	2.2846e+002 	1.1974e+002 	8.7692e+001 	5.0161e+001 	2.3081e+001 	2.0350e+001 	
 Run  8         3.4559e+003 	1.2437e+003 	8.1497e+002 	5.3600e+002 	2.4320e+002 	2.2851e+002 	5.7858e+001 	4.7250e+001 	4.5233e+001 	2.2103e+001 	
 Run  9         5.4180e+003 	8.0796e+002 	8.0796e+002 	3.2528e+002 	2.3551e+002 	2.0559e+002 	6.7629e+001 	4.0498e+001 	4.0498e+001 	2.2835e+001 	
 Run 10         5.5205e+003 	1.7900e+003 	1.0582e+003 	3.8668e+002 	2.4231e+002 	1.0179e+002 	1.0179e+002 	7.7566e+001 	6.8534e+001 	2.5197e+001 	
 Run 11         4.6179e+003 	1.8918e+003 	6.4828e+002 	3.8047e+002 	3.6456e+002 	1.3740e+002 	1.2067e+002 	5.7592e+001 	3.9373e+001 	2.6284e+001 	
 Run 12         4.2237e+003 	2.4259e+003 	1.0625e+003 	5.3300e+002 	2.7518e+002 	1.2037e+002 	5.6478e+001 	5.6478e+001 	4.0424e+001 	2.7475e+001 	
 Run 13         4.6565e+003 	1.1106e+003 	6.7201e+002 	4.4566e+002 	2.2652e+002 	1.1601e+002 	1.0428e+002 	6.5754e+001 	4.7187e+001 	3.4306e+001 	
 Run 14         6.2110e+003 	1.8704e+003 	1.3336e+003 	5.1374e+002 	2.8708e+002 	1.3707e+002 	9.6737e+001 	9.3066e+001 	4.3364e+001 	3.9242e+001 	
 Run 15         6.8723e+003 	2.4759e+003 	6.1882e+002 	2.9345e+002 	2.9345e+002 	2.9345e+002 	2.3483e+002 	8.6148e+001 	4.0309e+001 	4.0309e+001 	
 Run 16         5.1357e+003 	2.2006e+003 	1.5876e+003 	9.3160e+002 	6.3318e+002 	3.9478e+002 	2.2945e+002 	2.0127e+002 	7.5912e+001 	4.1797e+001 	
 Run 17         6.6980e+003 	1.9937e+003 	9.7605e+002 	4.4033e+002 	2.8340e+002 	2.1597e+002 	1.2684e+002 	9.9744e+001 	7.0386e+001 	4.6164e+001 	
 Run 18         6.3920e+003 	2.4345e+003 	8.5795e+002 	7.9119e+002 	3.6073e+002 	1.7957e+002 	1.4071e+002 	1.1189e+002 	6.8899e+001 	4.8545e+001 	
 Run 19         5.5808e+003 	2.5099e+003 	1.2859e+003 	7.2681e+002 	1.7246e+002 	1.7246e+002 	1.3525e+002 	1.0176e+002 	7.6900e+001 	5.2443e+001 	
 Run 20         6.2459e+003 	2.1894e+003 	1.5312e+003 	7.0796e+002 	4.7115e+002 	3.0014e+002 	2.1268e+002 	1.9651e+002 	1.5166e+002 	1.0434e+002 	
