GCO_2_30.txt     0.1 MaxFEs      0.2 MaxFEs      0.3 MaxFEs      0.4 MaxFEs      0.5 MaxFEs      0.6 MaxFEs      0.7 MaxFEs      0.8 MaxFEs      0.9 MaxFEs      1.0 MaxFEs  
 Run  1         2.0374e+004 	1.3340e+004 	9.0287e+003 	5.7981e+003 	3.1725e+003 	1.4294e+003 	8.5848e+002 	2.9325e+002 	1.5509e+002 	6.6760e+001 	
 Run  2         2.1689e+004 	1.4095e+004 	1.0261e+004 	4.9728e+003 	3.5059e+003 	1.3050e+003 	8.2482e+002 	3.7961e+002 	1.7220e+002 	8.8594e+001 	
 Run  3         2.1952e+004 	1.3606e+004 	6.8546e+003 	5.5502e+003 	2.8418e+003 	1.4247e+003 	8.2080e+002 	3.6286e+002 	1.9844e+002 	1.2559e+002 	
 Run  4         2.8648e+004 	1.7567e+004 	8.1309e+003 	7.3355e+003 	3.6921e+003 	2.1878e+003 	9.3078e+002 	3.9505e+002 	2.2001e+002 	1.2576e+002 	
 Run  5         2.4386e+004 	1.4638e+004 	1.0375e+004 	6.4817e+003 	3.9239e+003 	2.3029e+003 	9.7707e+002 	5.1856e+002 	2.1254e+002 	1.3310e+002 	
 Run  6         2.9258e+004 	1.3158e+004 	7.6760e+003 	4.3489e+003 	3.2230e+003 	1.6331e+003 	1.0498e+003 	3.6585e+002 	2.1124e+002 	1.3785e+002 	
 Run  7         2.8272e+004 	1.2276e+004 	8.9566e+003 	4.8102e+003 	2.8171e+003 	1.5733e+003 	8.3886e+002 	3.9189e+002 	2.2830e+002 	1.4826e+002 	
 Run  8         2.5778e+004 	1.3333e+004 	1.2902e+004 	5.6044e+003 	3.1728e+003 	1.7050e+003 	1.0748e+003 	5.0426e+002 	2.7660e+002 	1.5442e+002 	
 Run  9         2.3025e+004 	2.0509e+004 	1.1003e+004 	5.5763e+003 	4.9786e+003 	2.2292e+003 	1.1310e+003 	5.6175e+002 	2.4137e+002 	1.5631e+002 	
 Run 10         2.3075e+004 	1.4723e+004 	9.2172e+003 	5.6318e+003 	3.7094e+003 	1.9378e+003 	9.2195e+002 	4.8195e+002 	2.1036e+002 	1.5793e+002 	
 Run 11         2.1651e+004 	1.4301e+004 	8.6303e+003 	3.7973e+003 	2.4392e+003 	1.8055e+003 	9.1642e+002 	4.8514e+002 	2.6378e+002 	1.6566e+002 	
 Run 12         2.6138e+004 	1.1463e+004 	8.0415e+003 	5.7753e+003 	3.5959e+003 	2.1052e+003 	1.2777e+003 	5.2192e+002 	2.3051e+002 	1.7213e+002 	
 Run 13         3.1906e+004 	1.3644e+004 	7.3399e+003 	5.5267e+003 	3.1911e+003 	2.2686e+003 	1.2342e+003 	6.5240e+002 	2.2869e+002 	1.7305e+002 	
 Run 14         2.3552e+004 	1.5217e+004 	9.1760e+003 	5.5715e+003 	4.3212e+003 	2.0562e+003 	1.0325e+003 	3.6136e+002 	2.7446e+002 	1.8065e+002 	
 Run 15         2.5116e+004 	1.7673e+004 	1.0273e+004 	6.4578e+003 	4.5912e+003 	1.8486e+003 	7.7022e+002 	5.1321e+002 	2.8115e+002 	1.8455e+002 	
 Run 16         2.9552e+004 	1.4896e+004 	1.1431e+004 	5.2438e+003 	3.6185e+003 	2.4520e+003 	1.0157e+003 	6.3954e+002 	2.6332e+002 	1.9109e+002 	
 Run 17         1.5360e+004 	1.2851e+004 	8.5848e+003 	6.5122e+003 	2.4714e+003 	2.1834e+003 	1.1258e+003 	6.8920e+002 	3.1618e+002 	2.0256e+002 	
 Run 18         3.1797e+004 	1.2723e+004 	1.0848e+004 	6.7439e+003 	2.8899e+003 	1.7033e+003 	8.6642e+002 	4.2155e+002 	3.2181e+002 	2.1685e+002 	
 Run 19         2.3532e+004 	1.2599e+004 	9.1959e+003 	7.0148e+003 	3.6896e+003 	2.1015e+003 	9.4456e+002 	5.5128e+002 	3.6504e+002 	2.2992e+002 	
 Run 20         2.4241e+004 	1.8370e+004 	8.6639e+003 	6.4571e+003 	3.6732e+003 	2.3782e+003 	1.3943e+003 	6.9281e+002 	3.5300e+002 	2.7758e+002 	
