GCO_6_30.txt     0.1 MaxFEs      0.2 MaxFEs      0.3 MaxFEs      0.4 MaxFEs      0.5 MaxFEs      0.6 MaxFEs      0.7 MaxFEs      0.8 MaxFEs      0.9 MaxFEs      1.0 MaxFEs  
 Run  1         1.5138e+002 	7.2245e+001 	5.3643e+001 	4.2514e+001 	2.2808e+001 	1.0558e+001 	4.8062e+000 	2.2769e+000 	1.4874e+000 	1.2928e+000 	
 Run  2         2.1990e+002 	1.0321e+002 	5.9962e+001 	3.3229e+001 	1.2720e+001 	9.0002e+000 	6.0452e+000 	2.3418e+000 	1.5111e+000 	1.3002e+000 	
 Run  3         1.9378e+002 	1.0568e+002 	6.3055e+001 	3.5557e+001 	1.9687e+001 	9.4186e+000 	5.5385e+000 	2.6249e+000 	1.5336e+000 	1.4008e+000 	
 Run  4         1.7140e+002 	7.3440e+001 	5.5534e+001 	3.3446e+001 	1.8951e+001 	9.1561e+000 	5.0384e+000 	2.5194e+000 	1.7781e+000 	1.4455e+000 	
 Run  5         1.9360e+002 	1.0656e+002 	5.6821e+001 	3.3999e+001 	2.3517e+001 	1.0557e+001 	5.5640e+000 	2.6667e+000 	1.7547e+000 	1.4910e+000 	
 Run  6         1.4004e+002 	8.0216e+001 	4.8061e+001 	3.0342e+001 	1.5935e+001 	9.3557e+000 	4.1209e+000 	2.9836e+000 	1.8099e+000 	1.6211e+000 	
 Run  7         1.5717e+002 	6.2280e+001 	3.9907e+001 	3.9718e+001 	2.4515e+001 	1.4116e+001 	5.1411e+000 	3.2285e+000 	2.1411e+000 	1.7322e+000 	
 Run  8         2.5843e+002 	1.1649e+002 	5.9503e+001 	3.6226e+001 	1.4985e+001 	1.0017e+001 	5.2665e+000 	3.0019e+000 	2.1126e+000 	1.7830e+000 	
 Run  9         2.1363e+002 	8.8312e+001 	5.5682e+001 	3.5743e+001 	1.7189e+001 	1.0869e+001 	5.7611e+000 	3.2292e+000 	2.1439e+000 	1.7892e+000 	
 Run 10         1.9524e+002 	8.5647e+001 	6.8629e+001 	3.4412e+001 	1.7870e+001 	1.1654e+001 	5.7852e+000 	2.8868e+000 	2.0107e+000 	1.7934e+000 	
 Run 11         1.7680e+002 	8.1891e+001 	4.9130e+001 	3.1869e+001 	1.4332e+001 	1.0299e+001 	5.2298e+000 	2.4390e+000 	2.0841e+000 	1.8292e+000 	
 Run 12         1.8916e+002 	7.9970e+001 	6.5845e+001 	3.9353e+001 	1.8561e+001 	8.4062e+000 	5.9349e+000 	3.1859e+000 	2.1764e+000 	1.9204e+000 	
 Run 13         1.5591e+002 	9.4660e+001 	6.6202e+001 	3.9091e+001 	2.0901e+001 	1.2508e+001 	6.3717e+000 	3.3557e+000 	2.3518e+000 	1.9543e+000 	
 Run 14         2.1629e+002 	9.5208e+001 	5.4658e+001 	3.1332e+001 	1.9294e+001 	1.2355e+001 	6.2349e+000 	3.1605e+000 	2.2538e+000 	1.9547e+000 	
 Run 15         1.9871e+002 	9.1229e+001 	5.1894e+001 	3.5611e+001 	1.8247e+001 	1.2392e+001 	6.0316e+000 	2.9578e+000 	2.2375e+000 	1.9929e+000 	
 Run 16         1.8192e+002 	1.0650e+002 	6.0711e+001 	3.6962e+001 	2.1905e+001 	9.9647e+000 	5.8379e+000 	2.7613e+000 	2.4344e+000 	2.0031e+000 	
 Run 17         2.1774e+002 	1.0045e+002 	5.6791e+001 	3.1089e+001 	1.5985e+001 	9.3886e+000 	5.4003e+000 	3.0069e+000 	2.4869e+000 	2.1069e+000 	
 Run 18         1.5902e+002 	9.9329e+001 	5.7273e+001 	3.7634e+001 	2.1437e+001 	1.2948e+001 	7.0032e+000 	4.0808e+000 	2.5448e+000 	2.2008e+000 	
 Run 19         2.0350e+002 	1.1781e+002 	5.3054e+001 	3.9059e+001 	2.5235e+001 	1.1352e+001 	6.4387e+000 	3.8364e+000 	2.4705e+000 	2.2378e+000 	
 Run 20         2.3402e+002 	8.5926e+001 	8.0781e+001 	4.0587e+001 	2.0374e+001 	1.5398e+001 	8.2118e+000 	4.2131e+000 	2.9270e+000 	2.6341e+000 	
